Date,Number of Requests,Data Sent
2008-07-01-00,13674589,297088591443
2008-07-01-01,13168228,287713142111
2008-07-01-02,13053791,292536862556
2008-07-01-03,13159505,289738680597
2008-07-01-04,12919222,280891554246
2008-07-01-05,11705627,254779364797
2008-07-01-06,11312199,246792654825
2008-07-01-07,11865524,263957442069
2008-07-01-08,12794582,285036133439
2008-07-01-09,13835081,313187591598
2008-07-01-10,14073155,323789855147
2008-07-01-11,14380954,329322717753
2008-07-01-12,15104380,346303572979
2008-07-01-13,16638411,382202612644
2008-07-01-14,18338776,421081651582
2008-07-01-15,18990690,427389184644
2008-07-01-16,18856788,420307860089
2008-07-01-17,18032882,399211201967
2008-07-01-18,17880846,393285196210
2008-07-01-19,18197108,394594126242
2008-07-01-20,18785447,402855418983
2008-07-01-21,18334821,393293436034
2008-07-01-22,16075982,347985866647
2008-07-01-23,14384248,311392524465
2008-07-02-00,13492813,291161602827
2008-07-02-01,13024173,282374436683
2008-07-02-02,12944053,285198964880
2008-07-02-03,12976821,285826735884
2008-07-02-04,12454966,274484667144
2008-07-02-05,11754648,250244887889
2008-07-02-06,11386950,242450919265
2008-07-02-07,12086414,259084744557
2008-07-02-08,12825500,282115066792
2008-07-02-09,13726575,312361570041
2008-07-02-10,14159582,324532607128
2008-07-02-11,14285135,328416672888
2008-07-02-12,14924130,348100749084
2008-07-02-13,16739641,384015497043
2008-07-02-14,18239504,417239079797
2008-07-02-15,19024838,429126470918
2008-07-02-16,18756959,420350722726
2008-07-02-17,18016912,404890471559
2008-07-02-18,17840663,394680261941
2008-07-02-19,17971443,396681054311
2008-07-02-20,18615553,405126292081
2008-07-02-21,18505528,394229709033
2008-07-02-22,16652925,346932331572
2008-07-02-23,14382363,302999566695
2008-07-03-00,13471762,282502914183
2008-07-03-01,13013356,279325860489
2008-07-03-02,13083573,281425695747
2008-07-03-03,13034941,282279613119
2008-07-03-04,12606328,270837245551
2008-07-03-05,11901763,253275002479
2008-07-03-06,11662703,250201483261
2008-07-03-07,12382721,267137900556
2008-07-03-08,13163854,287653356710
2008-07-03-09,14220426,314422718760
2008-07-03-10,14491889,324808982956
2008-07-03-11,14769921,330885840899
2008-07-03-12,15421320,350235844387
2008-07-03-13,17095252,387050772132
2008-07-03-14,18587153,421014427740
2008-07-03-15,19342389,425602024370
2008-07-03-16,19188184,417601353253
2008-07-03-17,18517396,401159951457
2008-07-03-18,18339471,392636733903
2008-07-03-19,18642326,395404464694
2008-07-03-20,18745934,394438980650
2008-07-03-21,18229131,379819112349
2008-07-03-22,16614227,345529397235
2008-07-03-23,14379683,298796932849
2008-07-04-00,13389010,280291761488
2008-07-04-01,12925080,278190925449
2008-07-04-02,12760082,275609197301
2008-07-04-03,12982386,274266889586
2008-07-04-04,12690344,268173664797
2008-07-04-05,12067797,248602791374
2008-07-04-06,11879800,250017653643
2008-07-04-07,12592799,269808408722
2008-07-04-08,13375154,290772500743
2008-07-04-09,14212160,314714017553
2008-07-04-10,14466120,318361069747
2008-07-04-11,14441728,316590878322
2008-07-04-12,14971408,330769642018
2008-07-04-13,16174758,354649604371
2008-07-04-14,17461153,382098925360
2008-07-04-15,17903133,381460818891
2008-07-04-16,17898370,374444504831
2008-07-04-17,17116179,356203892266
2008-07-04-18,16339581,335459931739
2008-07-04-19,15920590,322716422656
2008-07-04-20,15763978,315411354661
2008-07-04-21,15407766,307272382882
2008-07-04-22,14543976,288804449155
2008-07-04-23,13079540,262296711853
2008-07-05-00,12126025,237028354569
2008-07-05-01,11267006,222560315083
2008-07-05-02,10905964,216469647997
2008-07-05-03,10880280,214510322186
2008-07-05-04,10717014,209340088217
2008-07-05-05,10393532,201312149326
2008-07-05-06,10123570,196156635547
2008-07-05-07,10133386,195412170183
2008-07-05-08,10255898,197813842657
2008-07-05-09,10729350,203644472788
2008-07-05-10,11035512,206736693838
2008-07-05-11,11219753,208536392294
2008-07-05-12,11471914,217236984476
2008-07-05-13,12205105,233140892237
2008-07-05-14,13274580,252174864424
2008-07-05-15,14287958,270344101107
2008-07-05-16,14779777,281398652684
2008-07-05-17,14564736,268865908775
2008-07-05-18,14289685,263983242130
2008-07-05-19,13924168,253803975970
2008-07-05-20,14018459,252857503465
2008-07-05-21,13813384,247187157103
2008-07-05-22,13291369,240191292446
2008-07-05-23,12326172,224992934905
2008-07-06-00,11897359,212323205125
2008-07-06-01,11347203,202769088012
2008-07-06-02,11212173,200998573785
2008-07-06-03,11374156,203700357125
2008-07-06-04,11285432,201799263676
2008-07-06-05,10783788,193379439291
2008-07-06-06,10472175,189553939296
2008-07-06-07,10256721,184491145824
2008-07-06-08,10403540,187676071658
2008-07-06-09,11048107,199285947458
2008-07-06-10,11691556,203641366955
2008-07-06-11,12160145,210694535436
2008-07-06-12,12565689,221142494622
2008-07-06-13,13291974,234979354564
2008-07-06-14,14140757,250973865250
2008-07-06-15,15025083,268776824351
2008-07-06-16,15422610,273519517815
2008-07-06-17,15730681,281034625071
2008-07-06-18,15521448,275559612001
2008-07-06-19,15258847,273312212540
2008-07-06-20,15644050,277325491999
2008-07-06-21,15645420,285621218370
2008-07-06-22,14985903,266028728081
2008-07-06-23,13592499,244704391840
2008-07-07-00,13022009,234740091686
2008-07-07-01,12885223,241165986535
2008-07-07-02,13108335,248693803623
2008-07-07-03,13188704,254775167575
2008-07-07-04,13022466,251528694647
2008-07-07-05,12066131,232299965802
2008-07-07-06,11849647,232175948112
2008-07-07-07,11631797,234357442475
2008-07-07-08,12454865,257296124700
2008-07-07-09,13476255,287240582638
2008-07-07-10,13946461,295719308806
2008-07-07-11,14146147,296476259715
2008-07-07-12,15025273,315413337396
2008-07-07-13,16483175,343035458529
2008-07-07-14,18232015,379809226231
2008-07-07-15,18635782,376854871911
2008-07-07-16,18397035,362379165506
2008-07-07-17,17651207,342383948922
2008-07-07-18,17735199,336621939111
2008-07-07-19,18449598,341451976992
2008-07-07-20,18430403,338835420842
2008-07-07-21,18185182,333823810893
2008-07-07-22,16086303,291028687365
2008-07-07-23,13974030,253887169002
2008-07-08-00,12874079,237888213198
2008-07-08-01,12525547,235001058945
2008-07-08-02,12585942,240613682254
2008-07-08-03,12815833,245357597133
2008-07-08-04,12385444,239654127963
2008-07-08-05,11522775,215162470516
2008-07-08-06,10962923,216115821326
2008-07-08-07,11468884,219645217648
2008-07-08-08,12035010,233170887791
2008-07-08-09,13025884,254841914574
2008-07-08-10,13559615,276017032092
2008-07-08-11,13363708,276884685828
2008-07-08-12,14272218,294057692529
2008-07-08-13,16022174,316495977365
2008-07-08-14,17200842,334870941517
2008-07-08-15,17738759,343268372108
2008-07-08-16,17698756,333149980048
2008-07-08-17,16854197,313235615455
2008-07-08-18,16485385,304538348007
2008-07-08-19,16629719,303621975273
2008-07-08-20,16767813,305896675024
2008-07-08-21,16392461,294945397458
2008-07-08-22,14873256,264572269748
2008-07-08-23,13157135,234921746692
2008-07-09-00,12001191,215010526501
2008-07-09-01,11366482,209187161970
2008-07-09-02,12106834,227818661650
2008-07-09-03,12364812,229758489035
2008-07-09-04,11934510,221724731123
2008-07-09-05,11019806,208008487420
2008-07-09-06,10707115,210017867846
2008-07-09-07,10706158,206962421735
2008-07-09-08,11535411,215323569499
2008-07-09-09,12337147,248654314598
2008-07-09-10,12896180,255296715835
2008-07-09-11,13017591,258577045915
2008-07-09-12,13793485,275039584185
2008-07-09-13,15218047,302683037298
2008-07-09-14,16559756,325785885377
2008-07-09-15,17151663,328059752458
2008-07-09-16,16948048,314688196945
2008-07-09-17,16079149,292356142777
2008-07-09-18,16022458,286030056325
2008-07-09-19,16184341,287612280944
2008-07-09-20,16612878,290293823711
2008-07-09-21,16203468,279785204698
2008-07-09-22,14916686,253850530870
2008-07-09-23,12895163,223414566036
2008-07-10-00,11987364,210573296285
2008-07-10-01,11821024,214314085901
2008-07-10-02,11798375,218857267277
2008-07-10-03,11956536,223718206282
2008-07-10-04,11665504,222110193043
2008-07-10-05,10782811,204391585412
2008-07-10-06,10554116,205607374368
2008-07-10-07,11090897,219469690093
2008-07-10-08,11683782,233814115204
2008-07-10-09,12446159,252830490938
2008-07-10-10,12778348,253590213448
2008-07-10-11,12852264,254106663154
2008-07-10-12,13284953,264302282453
2008-07-10-13,14628977,293358362017
2008-07-10-14,15805886,317387530255
2008-07-10-15,16280758,314041420483
2008-07-10-16,16126345,301358365739
2008-07-10-17,15463118,283505868837
2008-07-10-18,15491165,283544084049
2008-07-10-19,15292649,277355369331
2008-07-10-20,15313261,275082993182
2008-07-10-21,14960777,266455047069
2008-07-10-22,13577550,240993094946
2008-07-10-23,11939444,210423709082
2008-07-11-00,10827247,199944490972
2008-07-11-01,11253266,208171798298
2008-07-11-02,11545647,218721323433
2008-07-11-03,11772384,225627935959
2008-07-11-04,11440278,224368034518
2008-07-11-05,10651240,207248632245
2008-07-11-06,10496597,208933758106
2008-07-11-07,10961982,218840678935
2008-07-11-08,11617276,231620077536
2008-07-11-09,12468408,251715968503
2008-07-11-10,12647818,249162504714
2008-07-11-11,12472728,243936949252
2008-07-11-12,12339667,243919347169
2008-07-11-13,13584060,264953776696
2008-07-11-14,14803919,287181316793
2008-07-11-15,15520858,291824168698
2008-07-11-16,15456264,287394099453
2008-07-11-17,15040129,274118096012
2008-07-11-18,14676362,265558038752
2008-07-11-19,14709692,263232137488
2008-07-11-20,14513696,258049675029
2008-07-11-21,14351970,252259306335
2008-07-11-22,13174930,229401269623
2008-07-11-23,11851223,206756259361
2008-07-12-00,10842627,187846437384
2008-07-12-01,10103636,175617180052
