Date,Number of Requests
2008-01-01-00,7486322
2008-01-01-01,7311262
2008-01-01-02,6913041
2008-01-01-03,6855682
2008-01-01-04,6900463
2008-01-01-05,6318433
2008-01-01-06,6106934
2008-01-01-07,6149595
2008-01-01-08,5994673
2008-01-01-09,5553675
2008-01-01-10,5827049
2008-01-01-11,6527987
2008-01-01-12,7223239
2008-01-01-13,7953189
2008-01-01-14,8760720
2008-01-01-15,9515826
2008-01-01-16,10350852
2008-01-01-17,11084584
2008-01-01-18,11761084
2008-01-01-19,12111869
2008-01-01-20,12106941
2008-01-01-21,11957637
2008-01-01-22,12087063
2008-01-01-23,11587997
2008-01-02-00,10829278
2008-01-02-01,10370339
2008-01-02-02,10190535
2008-01-02-03,9807600
2008-01-02-04,9629993
2008-01-02-05,8638333
2008-01-02-06,8153667
2008-01-02-07,7778141
2008-01-02-08,7579317
2008-01-02-09,7854638
2008-01-02-10,8481857
2008-01-02-11,9577006
2008-01-02-12,10230718
2008-01-02-13,11124168
2008-01-02-14,12574682
2008-01-02-15,13587411
2008-01-02-16,14183460
2008-01-02-17,14450986
2008-01-02-18,14232843
2008-01-02-19,14151671
2008-01-02-20,14169641
2008-01-02-21,14127085
2008-01-02-22,13823144
2008-01-02-23,12809088
2008-01-03-00,11565650
2008-01-03-01,10768939
2008-01-03-02,10217749
2008-01-03-03,9849260
2008-01-03-04,9352543
2008-01-03-05,8725910
2008-01-03-06,8035626
2008-01-03-07,8019077
2008-01-03-08,7951719
2008-01-03-09,8432028
2008-01-03-10,9207457
2008-01-03-11,10346244
2008-01-03-12,11134725
2008-01-03-13,11906727
2008-01-03-14,13249111
2008-01-03-15,14172335
2008-01-03-16,14821236
2008-01-03-17,14821680
2008-01-03-18,14415604
2008-01-03-19,14387059
2008-01-03-20,14157123
2008-01-03-21,14199911
2008-01-03-22,13949663
2008-01-03-23,12998124
2008-01-04-00,11658432
2008-01-04-01,10971550
2008-01-04-02,10294602
2008-01-04-03,10143458
2008-01-04-04,9915765
2008-01-04-05,9019418
2008-01-04-06,8450616
2008-01-04-07,8245796
2008-01-04-08,8316192
2008-01-04-09,8680950
2008-01-04-10,9612074
2008-01-04-11,10268256
2008-01-04-12,10842255
2008-01-04-13,11671045
2008-01-04-14,12939404
2008-01-04-15,13928108
2008-01-04-16,14343735
2008-01-04-17,14258732
2008-01-04-18,13735208
2008-01-04-19,13481776
2008-01-04-20,13409680
2008-01-04-21,13245957
2008-01-04-22,12958735
2008-01-04-23,11916826
2008-01-05-00,10899369
2008-01-05-01,10158241
2008-01-05-02,9271551
2008-01-05-03,9024246
2008-01-05-04,8898087
2008-01-05-05,8528220
2008-01-05-06,8134333
2008-01-05-07,7783657
2008-01-05-08,7240649
2008-01-05-09,7321662
2008-01-05-10,7897522
2008-01-05-11,8856975
2008-01-05-12,9620990
2008-01-05-13,10364750
2008-01-05-14,11469007
2008-01-05-15,12153617
2008-01-05-16,12817503
2008-01-05-17,13121856
2008-01-05-18,13057939
2008-01-05-19,12721658
2008-01-05-20,12325999
2008-01-05-21,12406656
2008-01-05-22,12187765
2008-01-05-23,11760689
2008-01-06-00,11072124
2008-01-06-01,10223416
2008-01-06-02,9945019
2008-01-06-03,9831297
2008-01-06-04,9390910
2008-01-06-05,8970973
2008-01-06-06,8853028
2008-01-06-07,8244136
2008-01-06-08,7903532
2008-01-06-09,8113532
2008-01-06-10,8741057
2008-01-06-11,9766374
2008-01-06-12,10907203
2008-01-06-13,11817479
2008-01-06-14,12768958
2008-01-06-15,13398037
2008-01-06-16,13616815
2008-01-06-17,14094126
2008-01-06-18,14052659
2008-01-06-19,14017948
2008-01-06-20,14147530
2008-01-06-21,13991079
2008-01-06-22,13569803
2008-01-06-23,12520827
2008-01-07-00,11650165
2008-01-07-01,11173011
2008-01-07-02,11238051
2008-01-07-03,10981137
2008-01-07-04,10998661
2008-01-07-05,10069597
2008-01-07-06,9350118
2008-01-07-07,8996374
2008-01-07-08,9372833
2008-01-07-09,10069553
2008-01-07-10,10408217
2008-01-07-11,10991988
2008-01-07-12,11714606
2008-01-07-13,12872042
2008-01-07-14,14348695
2008-01-07-15,15698902
2008-01-07-16,16160446
2008-01-07-17,16359970
2008-01-07-18,15843850
2008-01-07-19,15425612
2008-01-07-20,15426590
2008-01-07-21,15144673
2008-01-07-22,14588362
2008-01-07-23,13284178
2008-01-08-00,11765706
2008-01-08-01,11560500
2008-01-08-02,11320448
2008-01-08-03,10981231
2008-01-08-04,10710423
2008-01-08-05,9603936
2008-01-08-06,8972591
2008-01-08-07,8778809
2008-01-08-08,9317707
2008-01-08-09,9785547
2008-01-08-10,10490620
2008-01-08-11,11123620
2008-01-08-12,11688421
2008-01-08-13,12941429
2008-01-08-14,14754661
2008-01-08-15,16091213
2008-01-08-16,16523814
2008-01-08-17,16721523
2008-01-08-18,16253303
2008-01-08-19,16000707
2008-01-08-20,15713750
2008-01-08-21,15452410
2008-01-08-22,14851559
2008-01-08-23,13549919
2008-01-09-00,12008125
2008-01-09-01,11607685
2008-01-09-02,11431982
2008-01-09-03,11278225
2008-01-09-04,10698321
2008-01-09-05,9643628
2008-01-09-06,8801922
2008-01-09-07,8521084
2008-01-09-08,9198514
2008-01-09-09,9992964
2008-01-09-10,11143485
2008-01-09-11,11478581
2008-01-09-12,11929041
2008-01-09-13,12959256
2008-01-09-14,14738742
2008-01-09-15,16460594
2008-01-09-16,16856638
2008-01-09-17,16755130
2008-01-09-18,16281678
2008-01-09-19,15836342
2008-01-09-20,15594807
2008-01-09-21,15365427
2008-01-09-22,14872043
2008-01-09-23,13532701
2008-01-10-00,11988925
2008-01-10-01,11483400
2008-01-10-02,11469560
2008-01-10-03,11444678
2008-01-10-04,10913419
2008-01-10-05,9834543
2008-01-10-06,8878182
2008-01-10-07,9087223
2008-01-10-08,9364293
2008-01-10-09,10038513
2008-01-10-10,10827507
2008-01-10-11,11103916
2008-01-10-12,11621039
2008-01-10-13,12710016
2008-01-10-14,14380294
2008-01-10-15,15937746
2008-01-10-16,16408997
2008-01-10-17,16468191
2008-01-10-18,15964625
2008-01-10-19,15796949
2008-01-10-20,15596863
2008-01-10-21,14757225
2008-01-10-22,14648157
2008-01-10-23,13681615
2008-01-11-00,12316233
2008-01-11-01,12087344
2008-01-11-02,12084672
2008-01-11-03,11876650
2008-01-11-04,11186034
2008-01-11-05,10064303
2008-01-11-06,9029673
2008-01-11-07,8595410
2008-01-11-08,9255437
2008-01-11-09,9859366
2008-01-11-10,10512280
2008-01-11-11,11101613
2008-01-11-12,11233193
2008-01-11-13,12157331
2008-01-11-14,13719340
2008-01-11-15,14843455
2008-01-11-16,15304555
2008-01-11-17,15257233
2008-01-11-18,14534302
2008-01-11-19,14056170
2008-01-11-20,13936263
2008-01-11-21,13642876
2008-01-11-22,13380055
2008-01-11-23,12245222
2008-01-12-00,10602213
